"Application","Category","Total Bytes","Bytes Received","Bytes Sent"
"Domain Name Service","Network Service","516599230","293254664","223344566"
"Google Search","Web","150635","54256","96379"
"HyperText Transfer Protocol","Web","178751467","156687180","22064287"
"HyperText Transfer Protocol Secure","Web","414905320","143651408","271253912"
"Internet Control Message Protocol","Network Service","3601298648","2178750468","1422548180"
"Internet Message Access Protocol version 4","Email","105622075","38982048","66640027"
"Internet Protocol","Network Service","0","0","0"
"Skype and Teams","Business Collaboration","1159190","381666","777524"
"Simple Object Access Protocol","Network Service","163240292","109902786","53337506"
"Secure Socket Layer","Tunneling and VPN","8005065677","7199160828","805904849"
"Transmission Control Protocol","Other TCP/UDP","751262259","141162210","610100049"
"Tabular Data Stream","Business Application","32861965772","13167417204","19694548568"
"User Datagram Protocol","Other TCP/UDP","1760952435","1140682248","620270187"
"Apple Generic Services","Web","5422004","1014418","4407586"
"Online Certificate Status Protocol","Business Application","32130","14136","17994"
"Bing.com (formerly MSN Search)","Web","104917908","14538502","90379406"
"Windows Update","Web","3057809110","375940952","2681868158"
"Chrome Update","Web","82951890","6643708","76308182"
"Google GStatic","Web","2425664","369080","2056584"
"Amazon Generic Services","Web","1112185268","619850190","492335078"
"Apple App Store","Web","1591526","305210","1286316"
"Windows Marketplace","Web","389581176","47596136","341985040"
"Apple Push Notification Service","Web","410337","218478","191859"
"Google Play Store","Media","245823","125122","120701"
"Microsoft Office 365","Business Collaboration","1163087","274022","889065"
"Microsoft Outlook (Office 365)","Business Application","8318382","2808990","5509392"
"Google Accounts","Web","215019","82142","132877"
"Snapchat","Social Networking","22005955","3379278","18626677"
"Apple Location","Web","1327601","410472","917129"
"Rackspace","Web","1309917628","138259034","1171658594"
"Microsoft OneDrive","Web","223736067","22010210","201725857"
"Microsoft","Web","1850972381","312137798","1538834583"
"Firebase Cloud Messaging","Web","92867","26316","66551"
"Microsoft teams","Internet Instant Messaging","686140","128140","558000"
"Google APIs","Web","10338700","4680674","5658026"
"Amazon Cognito","Web","11858655","3856044","8002611"
"Digicert","Web","142923","66410","76513"
"SD-WAN Control","SD-WAN","47381131296","26111537425","21269593871"
"SD-WAN Management","SD-WAN","86832800","38557180","48275620"
"TencentMeeting","Business Collaboration","26518260","5142856","21375404"
"HyperText Transfer Protocol version 2","Web","2025629","473312","1552317"
"Google Mail","Email","148517","55204","93313"
"Netbios","File Sharing","51252","35848","15404"
"Session Traversal Utilities for NAT","Business Collaboration","2568","1392","1176"
"Facebook","Social Networking","2715276","697870","2017406"
"Windows Live Hotmail","Email","229287","14968","214319"
"Xbox Live","Gaming","42369","9402","32967"
"Twitter","Social Networking","8629576","1129010","7500566"
"iTunes","Media","682854","199462","483392"
"Google Analytics,Google Marketing Platform","Web","96164","23888","72276"
"Google Generic","Web","763261","218696","544565"
"WhatsApp Messenger","Internet Instant Messaging","15566","8756","6810"
"iOS over-the-air (OTA) update","Web","117318","31084","86234"
"iCloud (Apple)","Storage and Backup","2266923","944298","1322625"
"Instagram","Web","3973058","610634","3362424"
"Amazon Web Services/Cloudfront CDN","Infrastructure","132073219","6699886","125373333"
"CloudFlare CDN","Infrastructure","1996415","399414","1597001"
"ScorecardResearch","Web","9544","2970","6574"
"Symantec","Web","6777","2112","4665"
"Samsung","Web","148387","65938","82449"
"Facebook Messenger","Internet Instant Messaging","82554","39440","43114"
"AppsFlyer","Business Application","68799","20164","48635"
"Google Cloud Storage","Web","585074","504070","81004"
"Google Cloud Messaging","Web","16258","8102","8156"
"Android connectivity Manager","Network Service","40813","24748","16065"
"Periscope","Media","1051245","142302","908943"
"ByteDance","Web","331630","31122","300508"
"TikTok (Musical.ly)","Social Networking","46870391","6282010","40588381"
"Apple News","Web","2184566","255468","1929098"
