"Application","Category","Total Bytes","Bytes Received","Bytes Sent"
"Domain Name Service","Network Service","65077432","27973474","37103958"
"HyperText Transfer Protocol","Web","51554602","33853590","17701012"
"HyperText Transfer Protocol Secure","Web","3321341441","2129480722","1191860719"
"Internet Control Message Protocol","Network Service","1217609942","712992850","504617092"
"Internet Protocol","Network Service","0","0","0"
"Skype and Teams","Business Collaboration","2292968","595190","1697778"
"Simple Object Access Protocol","Network Service","18379344","15124698","3254646"
"Secure Socket Layer","Tunneling and VPN","38735310220","21973689521","16761620699"
"Transmission Control Protocol","Other TCP/UDP","7140649290","1809022738","5331626552"
"User Datagram Protocol","Other TCP/UDP","499051748","326118492","172933256"
"TeamViewer","Remote Desktop","7576350227","4752492461","2823857766"
"Bing.com (formerly MSN Search)","Web","12653594","3556614","9096980"
"Windows Update","Web","7790560600","561219384","7229341216"
"Amazon Generic Services","Web","995057610","602419412","392638198"
"Windows Marketplace","Web","492217445","43222620","448994825"
"Microsoft Office 365","Business Collaboration","183528181","14529772","168998409"
"Microsoft Outlook (Office 365)","Business Application","15522268","4508900","11013368"
"Microsoft OneDrive","Web","3445787","307386","3138401"
"Microsoft","Web","3804009095","464346038","3339663057"
"Microsoft teams","Internet Instant Messaging","427344","106816","320528"
"Google APIs","Web","237927315","70355518","167571797"
"Amazon Cognito","Web","84940221","28043188","56897033"
"Digicert","Web","1091394","564134","527260"
"Datadog","Web","21540886475","17472947031","4067939444"
"SD-WAN Control","SD-WAN","25509352356","13346993770","12162358586"
"SD-WAN Management","SD-WAN","4238175477","1670916550","2567258927"
"TencentMeeting","Business Collaboration","8450524","3461962","4988562"
"Google Search","Web","5330335","1003660","4326675"
"Java Update","Web","1231405","114302","1117103"
"Chrome Update","Web","357103424","23605066","333498358"
"Google Generic","Web","1061161","228862","832299"
"Google Play Store","Media","5123347","615938","4507409"
"Session Traversal Utilities for NAT","Business Collaboration","79794","79794","0"
"Youtube.com","Media","295931","39394","256537"
"Facebook","Social Networking","33828","17156","16672"
"Google Ads","Web","316248","93310","222938"
"LinkedIn","Social Networking","100736","32442","68294"
"Online Certificate Status Protocol","Business Application","56406","22468","33938"
"Xbox Live","Gaming","23692","8810","14882"
"Twitter","Social Networking","11360","4132","7228"
"Google Analytics,Google Marketing Platform","Web","255985","91082","164903"
"Google GStatic","Web","3350984","439706","2911278"
"Amazon Web Services/Cloudfront CDN","Infrastructure","27406","3710","23696"
"Akamai Technologies CDN","Web","1764","864","900"
"Microsoft Azure (previously Windows Azure)","Infrastructure","1432401","350502","1081899"
"Yahoo.com","Web","67282","18056","49226"
"CloudFlare CDN","Infrastructure","25070815","1702684","23368131"
"Reddit.com","Web","28274","8102","20172"
"Background Intelligent Transfer Service","File Sharing","124434617","10772098","113662519"
"Google Accounts","Web","192861","62460","130401"
"Amazon Ad System","Web","13001","4282","8719"
"Turn","Web","26837","6908","19929"
"ScorecardResearch","Web","10796","3366","7430"
"Quantcast","Web","11671","3578","8093"
"Symantec","Web","56420","20282","36138"
"Criteo","Web","7053","2654","4399"
"Adobe","Business Application","177610","52228","125382"
"Google Safe Browsing","Web","19726","10340","9386"
"Brightcove","Media","555178","38240","516938"
"OpenX","Web","10107","4176","5931"
"PubMatic","Web","10633","3952","6681"
"Index Exchange (previously Casale Media)","Web","28977","9262","19715"
"LOTAME","Web","10287","3074","7213"
"Rubicon Project","Web","10766","4834","5932"
"AppNexus","Web","20138","8772","11366"
"Rlcdn","Web","13843","4474","9369"
"HyperText Transfer Protocol version 2","Web","19880337","11376300","8504037"
"GitHub","Web","5645620","414714","5230906"
"Google Tag Manager","Web","781360","72382","708978"
"BootstrapCDN","Web","119075","14534","104541"
"Microsoft Office OneNote (Office 365)","Business Application","23416","3796","19620"
"Optimizely","Web","390104","60016","330088"
"Liveperson","Web","745152","78584","666568"
"Ensighten","Web","178559","24500","154059"
"MediaMath","Web","6157","2176","3981"
"Everest Technologies","Web","27766","8908","18858"
"SpotXchange","Web","7886","3222","4664"
"Bidswitch","Web","19516","6506","13010"
"Flashtalking","Web","7277","2444","4833"
"Okta","Web","3076581","302328","2774253"
"Amplitude","Web","13837728","10529464","3308264"
"TikTok (Musical.ly)","Social Networking","131535","14148","117387"
"Unknown virtual protocol","Unclassified","227889","41184","186705"
"Go Daddy","Web","4498612","527872","3970740"
"Contentful","Web","66514","22922","43592"
